participant,R2,RMSE,MAE,n_samples
gs1,0.8683195920962338,0.1049517404265846,0.08074704288430998,112
gs2,0.9040281054546213,0.09349079729406282,0.06761731688397904,105
hww,0.8572879716031401,0.11049427435442663,0.08417059755608923,117
jz,0.8816601364183884,0.10824777372923107,0.08385995766045583,93
lx1,0.8781146887723799,0.10576832224395204,0.08234216526478029,84
lx2,0.7964249146653083,0.1318425083695446,0.09975310793654116,106
lx3,0.8552652938830294,0.11035417570182911,0.08721893146757181,88
pm,0.8033133387866996,0.13023015569713675,0.09593988305980403,89
ysp,0.8770883444326953,0.09796797401958356,0.07922631979373285,70
zch1,0.8928077482651797,0.10126784252764133,0.07573699821822423,102
zch2,0.7975173266494037,0.1367019718359921,0.10156833463090674,106
zm,0.8951353556998005,0.09473088108561442,0.07697310433342573,99
zxl,0.9364020712840817,0.06848858551979058,0.05564232954059065,96
